Date,Adj Close,daily returns,,,,,,,,,,,,,,,,,,,,
24-01-2014,30.597902,,,,,,,,,,,,,,,,,,,,,
27-01-2014,29.949541,0.021648445,,,,,,,,,,,,,,,,,,,,
28-01-2014,30.149027,-0.006616665,,,,,,,,,,,,,,,,,,,,
29-01-2014,30.473219,-0.010638587,,,,,,,,,,,,,,,,,,,,
30-01-2014,30.639477,-0.005426268,,,,,,,,,,,,,,,,,,,,
31-01-2014,31.454088,-0.025898414,,,,,,,,,,,,,,,,,,,,
03-02-2014,30.323591,0.037281106,,,,,,,,,,,,,,,,,,,,
04-02-2014,30.215521,0.003576639,,,,,,,,,,,,,,,,,,,,
05-02-2014,29.774979,0.014795712,,,,,,,,,,,,,,,,,,,,
06-02-2014,30.074226,-0.009950281,,,,,,,,,,,,,,,,,,,,
07-02-2014,30.3901,-0.010393977,,,,,,,,,,,,,,,,,,,,
10-02-2014,30.589596,-0.006521695,,,,,,,,,,,,,,,,,,,,
11-02-2014,30.897156,-0.009954314,,,,,,,,,,,,,,,,,,,,
12-02-2014,31.146528,-0.008006414,,,,,,,,,,,,,,,,,,,,
13-02-2014,31.262899,-0.003722336,,,,,,,,,,,,,,,,,,,,
14-02-2014,31.271194,-0.00026526,,,,,,,,,,,,,,,,,,,,
18-02-2014,31.338202,-0.002138221,,,,,,,,,,,,,,,,,,,,
19-02-2014,31.413574,-0.002399345,,,,,,,,,,,,,,,,,,,,
20-02-2014,31.614565,-0.006357544,,,,,,,,,,,,,,,,,,,,
21-02-2014,31.807188,-0.006055958,,,,,,,,,,,,,,,,,,,,
24-02-2014,31.564322,0.00769432,,,,,,,,,,,,,,,,,,,,
25-02-2014,31.438696,0.003995904,,,,,,,,,,,,,,,,,,,,
26-02-2014,31.380089,0.001867649,,,,,,,,,,,,,,,,,,,,
27-02-2014,31.706703,-0.010301103,,,,,,,,,,,,,,,,,,,,
28-02-2014,32.083549,-0.01174577,,,,,,,,,,,,,,,,,,,,
03-03-2014,31.63969,0.014028551,,,,,,,,,,,,,,,,,,,,
04-03-2014,32.167305,-0.016402213,,,,,,,,,,,,,,,,,,,,
05-03-2014,31.916063,0.007871961,,,,,,,,,,,,,,,,,,,,
06-03-2014,31.949556,-0.001048309,,,,,,,,,,,,,,,,,,,,
07-03-2014,31.740198,0.006595989,,,,,,,,,,,,,,,,,,,,
10-03-2014,31.67318,0.002115923,,,,,,,,,,,,,,,,,,,,
11-03-2014,31.840687,-0.005260785,,,,,,,,,,,,,,,,,,,,
12-03-2014,32.050049,-0.006532346,,,,,,,,,,,,,,,,,,,,
13-03-2014,31.731815,0.010028862,,,,,,,,,,,,,,,,,,,,
14-03-2014,31.57271,0.00503932,,,,,,,,,,,,,,,,,,,,
17-03-2014,31.865808,-0.009197884,,,,,,,,,,,,,,,,,,,,
18-03-2014,33.122036,-0.037927258,,,,,,,,,,,,,,,,,,,,
19-03-2014,32.887516,0.007130973,,,,,,,,,,,,,,,,,,,,
